"","STATENAME","INCOME","SEASON"
"2","Alabama",51113,"2017-18"
"3","Alaska",72231,"2017-18"
"4","Arizona",61125,"2017-18"
"5","Arkansas",48829,"2017-18"
"6","California",69759,"2017-18"
"7","Colorado",74172,"2017-18"
"8","Connecticut",72780,"2017-18"
"9","Delaware",62318,"2017-18"
"10","District of Columbia",83382,"2017-18"
"11","Florida",53681,"2017-18"
"12","Georgia",57016,"2017-18"
"13","Hawaii",73575,"2017-18"
"14","Idaho",60208,"2017-18"
"15","Illinois",64609,"2017-18"
"16","Indiana",58873,"2017-18"
"17","Iowa",63481,"2017-18"
"18","Kansas",57872,"2017-18"
"19","Kentucky",51348,"2017-18"
"20","Louisiana",43903,"2017-18"
"21","Maine",51664,"2017-18"
"22","Maryland",81084,"2017-18"
"23","Massachusetts",73227,"2017-18"
"24","Michigan",57700,"2017-18"
"25","Minnesota",71920,"2017-18"
"26","Mississippi",43441,"2017-18"
"27","Missouri",56885,"2017-18"
"28","Montana",59087,"2017-18"
"29","Nebraska",59619,"2017-18"
"30","Nevada",56550,"2017-18"
"31","New Hampshire",74801,"2017-18"
"32","New Jersey",72997,"2017-18"
"33","New Mexico",47855,"2017-18"
"34","New York",62447,"2017-18"
"35","North Carolina",50343,"2017-18"
"36","North Dakota",59886,"2017-18"
"37","Ohio",59768,"2017-18"
"38","Oklahoma",55006,"2017-18"
"39","Oregon",64610,"2017-18"
"40","Pennsylvania",63173,"2017-18"
"41","Rhode Island",66390,"2017-18"
"42","South Carolina",54971,"2017-18"
"43","South Dakota",56894,"2017-18"
"44","Tennessee",55240,"2017-18"
"45","Texas",59295,"2017-18"
"46","Utah",71319,"2017-18"
"47","Vermont",63805,"2017-18"
"48","Virginia",71293,"2017-18"
"49","Washington",75418,"2017-18"
"50","West Virginia",45392,"2017-18"
"51","Wisconsin",63451,"2017-18"
"52","Wyoming",57837,"2017-18"
"54","Alabama",47221,"2016-17"
"55","Alaska",75723,"2016-17"
"56","Arizona",57100,"2016-17"
"57","Arkansas",45907,"2016-17"
"58","California",66637,"2016-17"
"59","Colorado",70566,"2016-17"
"60","Connecticut",75923,"2016-17"
"61","Delaware",58046,"2016-17"
"62","District of Columbia",70982,"2016-17"
"63","Florida",51176,"2016-17"
"64","Georgia",53527,"2016-17"
"65","Hawaii",72133,"2016-17"
"66","Idaho",56564,"2016-17"
"67","Illinois",61386,"2016-17"
"68","Indiana",56094,"2016-17"
"69","Iowa",59094,"2016-17"
"70","Kansas",56810,"2016-17"
"71","Kentucky",45369,"2016-17"
"72","Louisiana",42196,"2016-17"
"73","Maine",50856,"2016-17"
"74","Maryland",73760,"2016-17"
"75","Massachusetts",72266,"2016-17"
"76","Michigan",57091,"2016-17"
"77","Minnesota",70218,"2016-17"
"78","Mississippi",41099,"2016-17"
"79","Missouri",55016,"2016-17"
"80","Montana",57075,"2016-17"
"81","Nebraska",59374,"2016-17"
"82","Nevada",55431,"2016-17"
"83","New Hampshire",76260,"2016-17"
"84","New Jersey",68468,"2016-17"
"85","New Mexico",48451,"2016-17"
"86","New York",61437,"2016-17"
"87","North Carolina",53764,"2016-17"
"88","North Dakota",60184,"2016-17"
"89","Ohio",53985,"2016-17"
"90","Oklahoma",50943,"2016-17"
"91","Oregon",59135,"2016-17"
"92","Pennsylvania",60979,"2016-17"
"93","Rhode Island",61528,"2016-17"
"94","South Carolina",54336,"2016-17"
"95","South Dakota",57450,"2016-17"
"96","Tennessee",51344,"2016-17"
"97","Texas",58146,"2016-17"
"98","Utah",67481,"2016-17"
"99","Vermont",60837,"2016-17"
"100","Virginia",66451,"2016-17"
"101","Washington",70310,"2016-17"
"102","West Virginia",44354,"2016-17"
"103","Wisconsin",59817,"2016-17"
"104","Wyoming",57829,"2016-17"
"106","Alabama",44509,"2015-16"
"107","Alaska",75112,"2015-16"
"108","Arizona",52248,"2015-16"
"109","Arkansas",42798,"2015-16"
"110","California",63636,"2015-16"
"111","Colorado",66596,"2015-16"
"112","Connecticut",72889,"2015-16"
"113","Delaware",57756,"2015-16"
"114","District of Columbia",70071,"2015-16"
"115","Florida",48825,"2015-16"
"116","Georgia",50768,"2015-16"
"117","Hawaii",64514,"2015-16"
"118","Idaho",51624,"2015-16"
"119","Illinois",60413,"2015-16"
"120","Indiana",51983,"2015-16"
"121","Iowa",60855,"2015-16"
"122","Kansas",54865,"2015-16"
"123","Kentucky",42387,"2015-16"
"124","Louisiana",45922,"2015-16"
"125","Maine",50756,"2015-16"
"126","Maryland",73594,"2015-16"
"127","Massachusetts",67861,"2015-16"
"128","Michigan",54203,"2015-16"
"129","Minnesota",68730,"2015-16"
"130","Mississippi",40037,"2015-16"
"131","Missouri",59196,"2015-16"
"132","Montana",51395,"2015-16"
"133","Nebraska",60474,"2015-16"
"134","Nevada",52008,"2015-16"
"135","New Hampshire",75675,"2015-16"
"136","New Jersey",68357,"2015-16"
"137","New Mexico",45119,"2015-16"
"138","New York",58005,"2015-16"
"139","North Carolina",50797,"2015-16"
"140","North Dakota",57415,"2015-16"
"141","Ohio",53301,"2015-16"
"142","Oklahoma",47077,"2015-16"
"143","Oregon",60834,"2015-16"
"144","Pennsylvania",60389,"2015-16"
"145","Rhode Island",55701,"2015-16"
"146","South Carolina",46360,"2015-16"
"147","South Dakota",55065,"2015-16"
"148","Tennessee",47330,"2015-16"
"149","Texas",56473,"2015-16"
"150","Utah",66258,"2015-16"
"151","Vermont",59494,"2015-16"
"152","Virginia",61486,"2015-16"
"153","Washington",67243,"2015-16"
"154","West Virginia",42824,"2015-16"
"155","Wisconsin",55425,"2015-16"
"156","Wyoming",60925,"2015-16"
"158","Alabama",42278,"2014-15"
"159","Alaska",67629,"2014-15"
"160","Arizona",49254,"2014-15"
"161","Arkansas",44922,"2014-15"
"162","California",60487,"2014-15"
"163","Colorado",60940,"2014-15"
"164","Connecticut",70161,"2014-15"
"165","Delaware",57522,"2014-15"
"166","District of Columbia",68277,"2014-15"
"167","Florida",46140,"2014-15"
"168","Georgia",49555,"2014-15"
"169","Hawaii",71223,"2014-15"
"170","Idaho",53438,"2014-15"
"171","Illinois",54916,"2014-15"
"172","Indiana",48060,"2014-15"
"173","Iowa",57810,"2014-15"
"174","Kansas",53444,"2014-15"
"175","Kentucky",42786,"2014-15"
"176","Louisiana",42406,"2014-15"
"177","Maine",51710,"2014-15"
"178","Maryland",76165,"2014-15"
"179","Massachusetts",63151,"2014-15"
"180","Michigan",52005,"2014-15"
"181","Minnesota",67244,"2014-15"
"182","Mississippi",35521,"2014-15"
"183","Missouri",56630,"2014-15"
"184","Montana",51102,"2014-15"
"185","Nebraska",56870,"2014-15"
"186","Nevada",49875,"2014-15"
"187","New Hampshire",73397,"2014-15"
"188","New Jersey",65243,"2014-15"
"189","New Mexico",46686,"2014-15"
"190","New York",54310,"2014-15"
"191","North Carolina",46784,"2014-15"
"192","North Dakota",60730,"2014-15"
"193","Ohio",49644,"2014-15"
"194","Oklahoma",47199,"2014-15"
"195","Oregon",58875,"2014-15"
"196","Pennsylvania",55173,"2014-15"
"197","Rhode Island",58633,"2014-15"
"198","South Carolina",44929,"2014-15"
"199","South Dakota",53053,"2014-15"
"200","Tennessee",43716,"2014-15"
"201","Texas",53875,"2014-15"
"202","Utah",63383,"2014-15"
"203","Vermont",60708,"2014-15"
"204","Virginia",66155,"2014-15"
"205","Washington",59068,"2014-15"
"206","West Virginia",39552,"2014-15"
"207","Wisconsin",58080,"2014-15"
"208","Wyoming",55690,"2014-15"
"210","Alabama",47320,"2013-14"
"211","Alaska",72472,"2013-14"
"212","Arizona",52611,"2013-14"
"213","Arkansas",39376,"2013-14"
"214","California",60794,"2013-14"
"215","Colorado",67912,"2013-14"
"216","Connecticut",69291,"2013-14"
"217","Delaware",54091,"2013-14"
"218","District of Columbia",60057,"2013-14"
"219","Florida",48532,"2013-14"
"220","Georgia",46992,"2013-14"
"221","Hawaii",64235,"2013-14"
"222","Idaho",48467,"2013-14"
"223","Illinois",53937,"2013-14"
"224","Indiana",49455,"2013-14"
"225","Iowa",60156,"2013-14"
"226","Kansas",47820,"2013-14"
"227","Kentucky",44879,"2013-14"
"228","Louisiana",46425,"2013-14"
"229","Maine",54957,"2013-14"
"230","Maryland",69353,"2013-14"
"231","Massachusetts",62529,"2013-14"
"232","Michigan",56567,"2013-14"
"233","Minnesota",64324,"2013-14"
"234","Mississippi",32338,"2013-14"
"235","Missouri",46303,"2013-14"
"236","Montana",43201,"2013-14"
"237","Nebraska",57623,"2013-14"
"238","Nevada",51846,"2013-14"
"239","New Hampshire",69099,"2013-14"
