STATENAME	POP	SEASON
Alabama	4503491	2003-04
Alaska	648414	2003-04
Arizona	5510364	2003-04
Arkansas	2724816	2003-04
California	35253159	2003-04
Colorado	4528732	2003-04
Connecticut	3484336	2003-04
Delaware	818003	2003-04
District of Columbia	568502	2003-04
Florida	17004085	2003-04
Georgia	8622793	2003-04
Hawaii	1251154	2003-04
Idaho	1363380	2003-04
Illinois	12556006	2003-04
Indiana	6196638	2003-04
Iowa	2941999	2003-04
Kansas	2723004	2003-04
Kentucky	4117170	2003-04
Louisiana	4521042	2003-04
Maine	1306513	2003-04
Maryland	5496269	2003-04
Massachusetts	6422565	2003-04
Michigan	10041152	2003-04
Minnesota	5053572	2003-04
Mississippi	2868312	2003-04
Missouri	5709403	2003-04
Montana	919630	2003-04
Nebraska	1738643	2003-04
Nevada	2248850	2003-04
New Hampshire	1279840	2003-04
New Jersey	8601402	2003-04
New Mexico	1877574	2003-04
New York	19175939	2003-04
North Carolina	8422501	2003-04
North Dakota	638817	2003-04
Ohio	11434788	2003-04
Oklahoma	3504892	2003-04
Oregon	3547376	2003-04
Pennsylvania	12374658	2003-04
Rhode Island	1071342	2003-04
South Carolina	4150297	2003-04
South Dakota	763729	2003-04
Tennessee	5847812	2003-04
Texas	22030931	2003-04
Utah	2360137	2003-04
Vermont	617858	2003-04
Virginia	7366977	2003-04
Washington	6104115	2003-04
West Virginia	1812295	2003-04
Wisconsin	5479203	2003-04
Wyoming	503453	2003-04
Alabama	4530729	2004-05
Alaska	659286	2004-05
Arizona	5652404	2004-05
Arkansas	2749686	2004-05
California	35574576	2004-05
Colorado	4575013	2004-05
Connecticut	3496094	2004-05
Delaware	830803	2004-05
District of Columbia	567754	2004-05
Florida	17415318	2004-05
Georgia	8769252	2004-05
Hawaii	1273569	2004-05
Idaho	1391802	2004-05
Illinois	12589773	2004-05
Indiana	6233007	2004-05
Iowa	2953635	2004-05
Kansas	2734373	2004-05
Kentucky	4146101	2004-05
Louisiana	4552238	2004-05
Maine	1313688	2004-05
Maryland	5546935	2004-05
Massachusetts	6412281	2004-05
Michigan	10055315	2004-05
Minnesota	5087713	2004-05
Mississippi	2889010	2004-05
Missouri	5747741	2004-05
Montana	930009	2004-05
Nebraska	1749370	2004-05
Nevada	2346222	2004-05
New Hampshire	1290121	2004-05
New Jersey	8634561	2004-05
New Mexico	1903808	2004-05
New York	19171567	2004-05
North Carolina	8553152	2004-05
North Dakota	644705	2004-05
Ohio	11452251	2004-05
Oklahoma	3525233	2004-05
Oregon	3569463	2004-05
Pennsylvania	12410722	2004-05
Rhode Island	1074579	2004-05
South Carolina	4210921	2004-05
South Dakota	770396	2004-05
Tennessee	5910809	2004-05
Texas	22394023	2004-05
Utah	2401580	2004-05
Vermont	619920	2004-05
Virginia	7475575	2004-05
Washington	6178645	2004-05
West Virginia	1816438	2004-05
Wisconsin	5514026	2004-05
Wyoming	509106	2004-05
Alabama	4569805	2005-06
Alaska	666946	2005-06
Arizona	5839077	2005-06
Arkansas	2781097	2005-06
California	35827943	2005-06
Colorado	4631888	2005-06
Connecticut	3506956	2005-06
Delaware	845150	2005-06
District of Columbia	567136	2005-06
Florida	17842038	2005-06
Georgia	8925922	2005-06
Hawaii	1292729	2005-06
Idaho	1428241	2005-06
Illinois	12609903	2005-06
Indiana	6278616	2005-06
Iowa	2964454	2005-06
Kansas	2745299	2005-06
Kentucky	4182742	2005-06
Louisiana	4576628	2005-06
Maine	1318787	2005-06
Maryland	5592379	2005-06
Massachusetts	6403290	2005-06
Michigan	10051137	2005-06
Minnesota	5119598	2005-06
Mississippi	2905943	2005-06
Missouri	5790300	2005-06
Montana	940102	2005-06
Nebraska	1761497	2005-06
Nevada	2432143	2005-06
New Hampshire	1298492	2005-06
New Jersey	8651974	2005-06
New Mexico	1932274	2005-06
New York	19132610	2005-06
North Carolina	8705407	2005-06
North Dakota	646089	2005-06
Ohio	11463320	2005-06
Oklahoma	3548597	2005-06
Oregon	3613202	2005-06
Pennsylvania	12449990	2005-06
Rhode Island	1067916	2005-06
South Carolina	4270150	2005-06
South Dakota	775493	2005-06
Tennessee	5991057	2005-06
Texas	22778123	2005-06
Utah	2457719	2005-06
Vermont	621215	2005-06
Virginia	7577105	2005-06
Washington	6257305	2005-06
West Virginia	1820492	2005-06
Wisconsin	5546166	2005-06
Wyoming	514157	2005-06
Alabama	4628981	2006-07
Alaska	675302	2006-07
Arizona	6029141	2006-07
Arkansas	2821761	2006-07
California	36021202	2006-07
Colorado	4720423	2006-07
Connecticut	3517460	2006-07
Delaware	859268	2006-07
District of Columbia	570681	2006-07
Florida	18166990	2006-07
Georgia	9155813	2006-07
Hawaii	1309731	2006-07
Idaho	1468669	2006-07
Illinois	12643955	2006-07
Indiana	6332669	2006-07
Iowa	2982644	2006-07
Kansas	2762931	2006-07
Kentucky	4219239	2006-07
Louisiana	4302665	2006-07
Maine	1323619	2006-07
Maryland	5627367	2006-07
Massachusetts	6410084	2006-07
Michigan	10036081	2006-07
Minnesota	5163555	2006-07
Mississippi	2904978	2006-07
Missouri	5842704	2006-07
Montana	952692	2006-07
Nebraska	1772693	2006-07
Nevada	2522658	2006-07
New Hampshire	1308389	2006-07
New Jersey	8661679	2006-07
New Mexico	1962137	2006-07
New York	19104631	2006-07
North Carolina	8917270	2006-07
North Dakota	649422	2006-07
Ohio	11481213	2006-07
Oklahoma	3594090	2006-07
Oregon	3670883	2006-07
Pennsylvania	12510809	2006-07
Rhode Island	1063096	2006-07
South Carolina	4357847	2006-07
South Dakota	783033	2006-07
Tennessee	6088766	2006-07
Texas	23359580	2006-07
Utah	2525507	2006-07
Vermont	622892	2006-07
Virginia	7673725	2006-07
Washington	6370753	2006-07
West Virginia	1827912	2006-07
Wisconsin	5577655	2006-07
Wyoming	522667	2006-07
Alabama	4672840	2007-08
Alaska	680300	2007-08
Arizona	6167681	2007-08
Arkansas	2848650	2007-08
California	36250311	2007-08
Colorado	4803868	2007-08
Connecticut	3527270	2007-08
Delaware	871749	2007-08
District of Columbia	574404	2007-08
Florida	18367842	2007-08
Georgia	9349988	2007-08
Hawaii	1315675	2007-08
Idaho	1505105	2007-08
Illinois	12695866	2007-08
Indiana	6379599	2007-08
Iowa	2999212	2007-08
Kansas	2783785	2007-08
Kentucky	4256672	2007-08
Louisiana	4375581	2007-08
Maine	1327040	2007-08
Maryland	5653408	2007-08
Massachusetts	6431559	2007-08
Michigan	10001284	2007-08
Minnesota	5207203	2007-08
Mississippi	2928350	2007-08
Missouri	5887612	2007-08
Montana	964706	2007-08
Nebraska	1783440	2007-08
Nevada	2601072	2007-08
New Hampshire	1312540	2007-08
New Jersey	8677885	2007-08
New Mexico	1990070	2007-08
New York	19132335	2007-08
North Carolina	9118037	2007-08
North Dakota	652822	2007-08
Ohio	11500468	2007-08
Oklahoma	3634349	2007-08
Oregon	3722417	2007-08
Pennsylvania	12563937	2007-08
Rhode Island	1057315	2007-08
South Carolina	4444110	2007-08
South Dakota	791623	2007-08
Tennessee	6175727	2007-08
Texas	23831983	2007-08
Utah	2597746	2007-08
Vermont	623481	2007-08
Virginia	7751000	2007-08
Washington	6461587	2007-08
West Virginia	1834052	2007-08
Wisconsin	5610775	2007-08
Wyoming	534876	2007-08
Alabama	4718206	2008-09
Alaska	687455	2008-09
Arizona	6280362	2008-09
Arkansas	2874554	2008-09
California	36604337	2008-09
Colorado	4889730	2008-09
Connecticut	3545579	2008-09
Delaware	883874	2008-09
District of Columbia	580236	2008-09
Florida	18527305	2008-09
Georgia	9504843	2008-09
Hawaii	1332213	2008-09
Idaho	1534320	2008-09
Illinois	12747038	2008-09
Indiana	6424806	2008-09
Iowa	3016734	2008-09
Kansas	2808076	2008-09
Kentucky	4289878	2008-09
Louisiana	4435586	2008-09
Maine	1330509	2008-09
Maryland	5684965	2008-09
Massachusetts	6468967	2008-09
Michigan	9946889	2008-09
Minnesota	5247018	2008-09
Mississippi	2947806	2008-09
Missouri	5923916	2008-09
Montana	976415	2008-09
Nebraska	1796378	2008-09
Nevada	2653630	2008-09
New Hampshire	1315906	2008-09
New Jersey	8711090	2008-09
New Mexico	2010662	2008-09
New York	19212436	2008-09
North Carolina	9309449	2008-09
North Dakota	657569	2008-09
Ohio	11515391	2008-09
Oklahoma	3668976	2008-09
Oregon	3768748	2008-09
Pennsylvania	12612285	2008-09
Rhode Island	1055003	2008-09
South Carolina	4528996	2008-09
South Dakota	799124	2008-09
Tennessee	6247411	2008-09
Texas	24309039	2008-09
Utah	2663029	2008-09
Vermont	624151	2008-09
Virginia	7833496	2008-09
Washington	6562231	2008-09
West Virginia	1840310	2008-09
Wisconsin	5640996	2008-09
Wyoming	546043	2008-09
Alabama	4757938	2009-10
Alaska	698895	2009-10
Arizona	6343154	2009-10
Arkansas	2896843	2009-10
California	36961229	2009-10
Colorado	4972195	2009-10
Connecticut	3561807	2009-10
Delaware	891730	2009-10
District of Columbia	592228	2009-10
Florida	18652644	2009-10
Georgia	9620846	2009-10
Hawaii	1346717	2009-10
Idaho	1554439	2009-10
Illinois	12796778	2009-10
Indiana	6459325	2009-10
Iowa	3032870	2009-10
Kansas	2832704	2009-10
Kentucky	4317074	2009-10
