,STATENAME,ACTIVITYESTIMATE,WEEK,SEASON,POP,AREA,HealthCare_All,HealthCare_Under65,HealthCare_Under18,HealthCare_Over65,INCOME,TypeA_subH3,TypeA_subH1N1,TypeA,TypeA_subH3N2,TypeA_subU,TypeA_subH1,TypeB,PrevWeek,NSporadic,NLocalAct,NNoAct,NRegional,NWidespread
0,Alabama,Widespread,41,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,5,1877,34,0,8,4,0,Widespread,0,2,0,8,41
1,Alabama,Widespread,42,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,1,2216,57,0,9,3,0,Widespread,0,2,0,3,46
2,Alabama,Widespread,43,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,6,2387,57,0,24,2,0,Widespread,0,1,0,2,48
3,Alabama,Widespread,44,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,4,3210,79,0,24,8,0,Widespread,0,1,0,2,48
4,Alabama,Widespread,45,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,2,5108,160,0,18,1,0,Widespread,0,1,0,4,46
5,Alabama,Widespread,46,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,6433,279,0,18,0,0,Widespread,0,1,0,7,43
6,Alabama,Widespread,47,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,4,7284,327,0,27,3,0,Widespread,0,2,0,17,32
7,Alabama,Widespread,48,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,2,5770,293,0,37,1,0,Widespread,2,7,0,17,25
8,Alabama,Widespread,49,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,2,4510,193,0,21,2,0,Widespread,4,8,0,25,14
9,Alabama,Widespread,50,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,1,3593,111,0,21,2,0,Widespread,8,12,0,20,11
10,Alabama,Regional,51,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,2208,61,0,21,1,0,Widespread,11,14,1,18,7
11,Alabama,Widespread,52,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,2,1140,44,0,9,1,0,Regional,13,20,1,13,4
12,Alabama,Regional,1,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,1,225,9,0,3,0,0,Widespread,19,18,1,12,1
13,Alabama,Regional,2,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,3,208,5,0,2,1,0,Regional,24,16,2,9,0
14,Alabama,Regional,3,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,251,2,0,2,0,0,Regional,33,10,1,7,0
15,Alabama,Regional,4,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,3,219,5,0,0,0,0,Regional,34,9,3,5,0
16,Alabama,Regional,5,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,259,5,0,0,0,0,Regional,32,10,3,6,0
17,Alabama,Regional,6,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,210,5,0,0,1,0,Regional,30,11,4,6,0
18,Alabama,Regional,7,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,220,5,0,0,0,0,Regional,36,9,3,3,0
19,Alabama,Regional,8,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,1,293,4,0,0,0,0,Regional,36,8,4,3,0
20,Alabama,Regional,9,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,274,5,0,0,0,0,Regional,35,8,4,4,0
21,Alabama,Regional,10,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,314,6,0,0,0,0,Regional,34,6,6,5,0
22,Alabama,Regional,11,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,0,234,8,0,0,0,0,Regional,32,8,8,3,0
23,Alabama,Regional,12,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,1,155,2,0,0,0,0,Regional,32,8,8,3,0
24,Alabama,Regional,13,2009-10,4757938,135767,84.5999984741211,82.30000305175781,91.0999984741211,98.5,39980,1,145,1,0,0,0,0,Regional,31,7,10,3,0
