,ACTIVITYESTIMATE,WEEK,POP,AREA,HealthCare_All,HealthCare_Over65,INCOME,TypeA_subH3,TypeA_subH1N1,TypeA,TypeA_subH3N2,TypeA_subU,TypeA_subH1,PrevWeek,NSporadic,NLocalAct,NNoAct,NRegional,NWidespread,Density
0,Widespread,41,4757938,135767,84.5999984741211,98.5,39980,5,1877,34,0,8,4,Widespread,0,2,0,8,3.7376696182833684,35.044878357774714
1,Widespread,42,4757938,135767,84.5999984741211,98.5,39980,1,2216,57,0,9,3,Widespread,0,2,0,3,3.8501476017100584,35.044878357774714
2,Widespread,43,4757938,135767,84.5999984741211,98.5,39980,6,2387,57,0,24,2,Widespread,0,1,0,2,3.8918202981106265,35.044878357774714
3,Widespread,44,4757938,135767,84.5999984741211,98.5,39980,4,3210,79,0,24,8,Widespread,0,1,0,2,3.8918202981106265,35.044878357774714
4,Widespread,45,4757938,135767,84.5999984741211,98.5,39980,2,5108,160,0,18,1,Widespread,0,1,0,4,3.8501476017100584,35.044878357774714
5,Widespread,46,4757938,135767,84.5999984741211,98.5,39980,0,6433,279,0,18,0,Widespread,0,1,0,7,3.784189633918261,35.044878357774714
6,Widespread,47,4757938,135767,84.5999984741211,98.5,39980,4,7284,327,0,27,3,Widespread,0,2,0,17,3.4965075614664802,35.044878357774714
7,Widespread,48,4757938,135767,84.5999984741211,98.5,39980,2,5770,293,0,37,1,Widespread,2,7,0,17,3.258096538021482,35.044878357774714
8,Widespread,49,4757938,135767,84.5999984741211,98.5,39980,2,4510,193,0,21,2,Widespread,4,8,0,25,2.70805020110221,35.044878357774714
9,Widespread,50,4757938,135767,84.5999984741211,98.5,39980,1,3593,111,0,21,2,Widespread,8,12,0,20,2.4849066497880004,35.044878357774714
10,Regional,51,4757938,135767,84.5999984741211,98.5,39980,0,2208,61,0,21,1,Widespread,11,14,1,18,2.0794415416798357,35.044878357774714
11,Widespread,52,4757938,135767,84.5999984741211,98.5,39980,2,1140,44,0,9,1,Regional,13,20,1,13,1.6094379124341003,35.044878357774714
12,Regional,1,4757938,135767,84.5999984741211,98.5,39980,1,225,9,0,3,0,Widespread,19,18,1,12,0.6931471805599453,35.044878357774714
13,Regional,2,4757938,135767,84.5999984741211,98.5,39980,3,208,5,0,2,1,Regional,24,16,2,9,0.0,35.044878357774714
14,Regional,3,4757938,135767,84.5999984741211,98.5,39980,0,251,2,0,2,0,Regional,33,10,1,7,0.0,35.044878357774714
15,Regional,4,4757938,135767,84.5999984741211,98.5,39980,3,219,5,0,0,0,Regional,34,9,3,5,0.0,35.044878357774714
16,Regional,5,4757938,135767,84.5999984741211,98.5,39980,0,259,5,0,0,0,Regional,32,10,3,6,0.0,35.044878357774714
17,Regional,6,4757938,135767,84.5999984741211,98.5,39980,0,210,5,0,0,1,Regional,30,11,4,6,0.0,35.044878357774714
18,Regional,7,4757938,135767,84.5999984741211,98.5,39980,0,220,5,0,0,0,Regional,36,9,3,3,0.0,35.044878357774714
19,Regional,8,4757938,135767,84.5999984741211,98.5,39980,1,293,4,0,0,0,Regional,36,8,4,3,0.0,35.044878357774714
20,Regional,9,4757938,135767,84.5999984741211,98.5,39980,0,274,5,0,0,0,Regional,35,8,4,4,0.0,35.044878357774714
21,Regional,10,4757938,135767,84.5999984741211,98.5,39980,0,314,6,0,0,0,Regional,34,6,6,5,0.0,35.044878357774714
22,Regional,11,4757938,135767,84.5999984741211,98.5,39980,0,234,8,0,0,0,Regional,32,8,8,3,0.0,35.044878357774714
23,Regional,12,4757938,135767,84.5999984741211,98.5,39980,1,155,2,0,0,0,Regional,32,8,8,3,0.0,35.044878357774714
24,Regional,13,4757938,135767,84.5999984741211,98.5,39980,1,145,1,0,0,0,Regional,31,7,10,3,0.0,35.044878357774714
25,Regional,14,4757938,135767,84.5999984741211,98.5,39980,1,90,5,0,0,0,Regional,34,3,11,3,0.0,35.044878357774714
26,Local Activity,15,4757938,135767,84.5999984741211,98.5,39980,2,42,1,0,0,0,Regional,39,1,9,2,0.0,35.044878357774714
27,Local Activity,16,4757938,135767,84.5999984741211,98.5,39980,2,16,0,0,0,0,Local Activity,32,4,15,0,0.0,35.044878357774714
28,Local Activity,17,4757938,135767,84.5999984741211,98.5,39980,0,13,0,0,0,0,Local Activity,32,2,17,0,0.0,35.044878357774714
29,No Activity,18,4757938,135767,84.5999984741211,98.5,39980,1,17,0,0,0,0,Local Activity,28,4,19,0,0.0,35.044878357774714
30,No Activity,19,4757938,135767,84.5999984741211,98.5,39980,2,5,0,0,0,0,No Activity,24,1,26,0,0.0,35.044878357774714
31,No Activity,20,4757938,135767,84.5999984741211,98.5,39980,1,4,0,0,1,0,No Activity,19,1,30,0,0.0,35.044878357774714
32,No Activity,41,4785448,135767,84.5999984741211,98.5,40933,33,12,1,0,0,0,No Activity,20,0,31,0,0.0,35.247504916511375
33,Sporadic,42,4785448,135767,84.5999984741211,98.5,40933,33,7,1,0,0,0,No Activity,25,0,26,0,0.0,35.247504916511375
34,Sporadic,43,4785448,135767,84.5999984741211,98.5,40933,48,10,3,0,0,0,Sporadic,23,2,26,0,0.0,35.247504916511375
35,Sporadic,44,4785448,135767,84.5999984741211,98.5,40933,47,10,0,0,0,0,Sporadic,29,1,21,0,0.0,35.247504916511375
36,Sporadic,45,4785448,135767,84.5999984741211,98.5,40933,64,11,0,0,0,0,Sporadic,36,3,12,0,0.0,35.247504916511375
37,Local Activity,46,4785448,135767,84.5999984741211,98.5,40933,94,16,4,0,0,0,Sporadic,35,4,12,0,0.0,35.247504916511375
38,Local Activity,47,4785448,135767,84.5999984741211,98.5,40933,114,10,3,0,0,0,Local Activity,32,7,11,1,0.0,35.247504916511375
39,Sporadic,48,4785448,135767,84.5999984741211,98.5,40933,130,31,3,0,0,0,Local Activity,32,11,7,1,0.0,35.247504916511375
40,Local Activity,49,4785448,135767,84.5999984741211,98.5,40933,282,36,3,0,0,0,Sporadic,30,12,6,3,0.0,35.247504916511375
41,Regional,50,4785448,135767,84.5999984741211,98.5,40933,404,74,18,0,0,0,Local Activity,22,20,5,4,0.0,35.247504916511375
42,Widespread,51,4785448,135767,84.5999984741211,98.5,40933,612,88,20,0,0,0,Regional,29,7,1,13,0.6931471805599453,35.247504916511375
43,Widespread,52,4785448,135767,84.5999984741211,98.5,40933,794,185,23,0,0,0,Widespread,24,9,0,13,1.791759469228055,35.247504916511375
44,Widespread,1,4785448,135767,84.5999984741211,98.5,40933,850,318,24,0,0,0,Widespread,15,12,0,16,2.1972245773362196,35.247504916511375
45,Widespread,2,4785448,135767,84.5999984741211,98.5,40933,926,500,20,0,0,0,Widespread,6,17,0,17,2.4849066497880004,35.247504916511375
46,Widespread,3,4785448,135767,84.5999984741211,98.5,40933,1112,742,16,0,0,0,Widespread,5,13,0,16,2.8903717578961645,35.247504916511375
47,Widespread,4,4785448,135767,84.5999984741211,98.5,40933,1156,964,27,0,0,0,Widespread,4,5,0,17,3.258096538021482,35.247504916511375
48,Widespread,5,4785448,135767,84.5999984741211,98.5,40933,1138,1073,41,0,0,0,Widespread,4,2,0,15,3.4339872044851463,35.247504916511375
49,Widespread,6,4785448,135767,84.5999984741211,98.5,40933,1167,1119,26,0,0,0,Widespread,4,1,0,9,3.6375861597263857,35.247504916511375
50,Widespread,7,4785448,135767,84.5999984741211,98.5,40933,1245,1248,39,0,0,0,Widespread,3,1,0,9,3.6635616461296463,35.247504916511375
51,Regional,8,4785448,135767,84.5999984741211,98.5,40933,1016,1017,34,0,0,0,Widespread,2,1,0,4,3.8066624897703196,35.247504916511375
52,Regional,9,4785448,135767,84.5999984741211,98.5,40933,852,818,17,0,0,0,Regional,0,2,0,5,3.8066624897703196,35.247504916511375
53,Regional,10,4785448,135767,84.5999984741211,98.5,40933,767,611,26,0,0,0,Regional,0,3,0,9,3.6888794541139363,35.247504916511375
54,Local Activity,11,4785448,135767,84.5999984741211,98.5,40933,541,377,16,0,0,0,Regional,1,4,0,15,3.4657359027997265,35.247504916511375
55,Local Activity,12,4785448,135767,84.5999984741211,98.5,40933,374,214,11,0,0,0,Local Activity,3,8,0,22,2.9444389791664403,35.247504916511375
56,Local Activity,13,4785448,135767,84.5999984741211,98.5,40933,248,147,11,0,0,0,Local Activity,6,13,0,22,2.3978952727983707,35.247504916511375
57,Local Activity,14,4785448,135767,84.5999984741211,98.5,40933,197,71,5,0,0,0,Local Activity,11,20,0,17,1.3862943611198906,35.247504916511375
